modelName,BRbsg,BrBsmumu,gminus2,finetuning,Omegahsq,Xenonxsec,pSDxsec,lsp
100133267,-7.99246466248,-19.6015882753,-20.0250316173,2.89e+03,-2.88240358825,-102.745035819,-96.9254869073,Bino
100137160,-7.90200755233,-19.4423319915,-19.9732658448,1.09e+03,-3.4482889892,-106.686785004,-100.000020423,Bino
100138720,-7.95757740348,-19.6114083215,-20.0377980677,1.02e+03,-2.12863178587,-106.203933233,-106.924036223,Bino
100142976,-7.95187938237,-19.6180090056,-19.8432242377,3.80e+02,-3.3581378922,-104.936835805,-98.2644710513,Bino
100143924,-7.998399398,-19.6015882753,-20.0416347123,7.87e+03,-3.14888345305,-104.743340948,-96.4309421692,Bino
100145187,-7.98656494035,-19.6380765686,-20.0411796037,5.89e+03,-2.38923289972,-104.028818908,-95.1295952008,Bino
100145581,-8.09192545601,-19.59833624,-20.0787313363,5.55e+02,-2.25379492882,-102.77908166,-91.4052689977,Bino
100145605,-7.91561320438,-19.6516822207,-20.0539503896,7.87e+02,-2.72265635349,-110.060350447,-95.745399588,Bino
100148114,-7.94904250103,-19.6585551,-20.0730261574,5.38e+02,-3.35526844977,-104.13049371,-91.371035826,Bino
100149645,-8.01339218259,-19.595094746,-20.0540015968,1.98e+03,-2.53957405113,-114.723789542,-102.653154867,Bino
100152331,-7.9806998209,-19.6147032174,-20.1647935597,2.63e+02,-2.81674961803,-105.832736581,-91.5610794289,Bino
100162386,-7.94621364483,-19.3988468795,-19.9855755936,1.82e+03,-2.87883852208,-106.542535396,-101.750699867,Bino
100164433,-7.94621364483,-19.6015882753,-20.0728695935,7.25e+02,-2.68092153371,-109.987591093,-99.7964214682,Bino
100164472,-8.00736806798,-19.6015882753,-20.0245840009,3.75e+02,-2.33924907737,-113.768278097,-92.0836010925,Bino
100164778,-8.0194528072,-19.6015882753,-20.0387558498,6.15e+03,-2.66642852641,-111.195470152,-97.995928319,Bino
100165786,-7.95187938237,-19.6015882753,-20.0400679872,5.53e+03,-2.15416508788,-109.291524203,-108.667786473,Bino
100167868,-7.99542762761,-19.604850921,-20.0407752366,2.30e+03,-2.42249538967,-107.998355819,-104.505491249,Bino
100195726,-8.02555038707,-19.604850921,-19.9008463207,2.80e+02,-2.53830742652,-103.323659571,-93.4390049666,Bino
100197349,-8.0164179035,-19.6015882753,-20.0269038295,2.05e+03,-3.39322921201,-103.115553897,-92.2426657871,Bino
100200714,-7.998399398,-19.4591391098,-20.0835194331,5.84e+03,-2.20727491319,-111.221239666,-103.178074254,Bino
100209118,-7.96043863576,-19.604850921,-20.0497093062,7.52e+02,-2.68238245435,-106.929515689,-99.1962844829,Bino
100214285,-8.00138002614,-19.6015882753,-20.0794139481,1.30e+03,-2.3351082847,-105.948343088,-94.849155788,Bino
100221001,-7.998399398,-19.6015882753,-20.0118367927,5.22e+03,-3.55434856116,-99.9630769083,-90.2853269422,Bino
100221164,-7.97486890059,-19.6081242463,-19.9966838803,3.58e+02,-2.48891467119,-101.821241925,-92.2346520064,Bino
100222486,-7.98656494035,-19.6015882753,-20.0173505171,1.73e+03,-2.3351082847,-107.31728122,-99.3258697436,Bino
100233658,-8.00138002614,-19.5695342491,-20.0234410016,5.36e+03,-4.39005880637,-101.173982149,-105.394185749,Bino
100234322,-7.98362808068,-19.5726938093,-20.0500152881,1.28e+03,-2.89860556282,-104.737187082,-97.9533687046,Bino
